date,value,series_index,series_label,chart_id,chart_name_en,source,ingested_at
1980-01-01,1992.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-02-01,1828.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-03-01,1514.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-04-01,1432.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-05-01,628.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-06-01,-10.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-07-01,-378.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-08-01,-200.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-09-01,-115.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-10-01,9.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-11-01,172.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1980-12-01,270.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-01-01,235.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-02-01,223.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-03-01,216.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-04-01,433.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-05-01,874.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-06-01,1391.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-07-01,1765.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-08-01,1469.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-09-01,1269.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-10-01,889.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-11-01,423.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1981-12-01,-50.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-01-01,-470.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-02-01,-543.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-03-01,-778.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-04-01,-1131.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-05-01,-1186.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-06-01,-1626.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-07-01,-2080.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-08-01,-2202.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-09-01,-2296.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-10-01,-2474.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-11-01,-2388.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1982-12-01,-2124.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-01-01,-1574.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-02-01,-1644.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-03-01,-1342.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-04-01,-786.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-05-01,-464.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-06-01,158.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-07-01,918.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-08-01,768.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-09-01,2064.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-10-01,2612.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-11-01,3088.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1983-12-01,3458.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-01-01,3680.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-02-01,4236.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-03-01,4339.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-04-01,4426.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-05-01,4457.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-06-01,4457.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-07-01,4352.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-08-01,4902.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-09-01,4097.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-10-01,4112.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-11-01,4108.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1984-12-01,3880.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-01-01,3700.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-02-01,3343.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-03-01,3414.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-04-01,3247.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-05-01,3213.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-06-01,2980.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-07-01,2857.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-08-01,2808.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-09-01,2701.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-10-01,2603.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-11-01,2463.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1985-12-01,2502.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-01-01,2361.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-02-01,2344.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-03-01,2092.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-04-01,2083.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-05-01,1936.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-06-01,1696.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-07-01,1824.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-08-01,1745.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-09-01,1889.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-10-01,1887.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-11-01,1864.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1986-12-01,1902.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-01-01,1949.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-02-01,2074.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-03-01,2229.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-04-01,2380.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-05-01,2479.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-06-01,2745.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-07-01,2774.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-08-01,2831.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-09-01,2712.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-10-01,3018.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-11-01,3064.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1987-12-01,3153.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-01-01,3075.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-02-01,3296.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-03-01,3323.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-04-01,3230.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-05-01,3233.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-06-01,3424.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-07-01,3299.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-08-01,3252.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-09-01,3363.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-10-01,3139.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-11-01,3246.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-12-01,3242.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-01-01,3410.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-02-01,3215.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-03-01,3132.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-04-01,3060.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-05-01,2949.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-06-01,2702.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-07-01,2520.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-08-01,2445.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-09-01,2356.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-10-01,2199.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-11-01,2137.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-12-01,1943.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-01-01,2016.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-02-01,2006.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-03-01,2028.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-04-01,1895.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-05-01,1929.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-06-01,1836.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-07-01,1768.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-08-01,1498.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-09-01,1160.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-10-01,890.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-11-01,463.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-12-01,311.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-01-01,-144.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-02-01,-697.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-03-01,-1070.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-04-01,-1321.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-05-01,-1598.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-06-01,-1524.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-07-01,-1532.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-08-01,-1305.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-09-01,-1185.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-10-01,-1010.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-11-01,-917.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-12-01,-836.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-01-01,-663.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-02-01,-421.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-03-01,-209.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-04-01,161.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-05-01,413.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-06-01,383.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-07-01,487.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-08-01,622.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-09-01,626.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-10-01,790.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-11-01,985.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-12-01,1171.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-01-01,1428.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-02-01,1733.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-03-01,1630.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-04-01,1779.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-05-01,1919.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-06-01,2033.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-07-01,2263.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-08-01,2282.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-09-01,2485.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-10-01,2591.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-11-01,2715.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-12-01,2816.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-01-01,2778.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-02-01,2736.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-03-01,3250.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-04-01,3291.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-05-01,3358.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-06-01,3493.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-07-01,3573.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-08-01,3690.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-09-01,3803.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-10-01,3730.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-11-01,3888.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1994-12-01,3851.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-01-01,3905.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1995-02-01,3908.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
